Trial 1,Trial 2,Trial 3,Trial 4,Trial 5
1930520,760649,645043,258155,677771
1936762,2994942,652745,289832,683564
1937388,3004337,683660,336316,705116
1937865,3005798,692649,396082,870721
1938556,3008142,708114,399951,897973
1939132,3009432,960070,446475,950006
1940430,3011264,970107,3176284,955799
1945242,3012639,976024,3214166,1012083
1945855,3034099,981684,3226343,1034464
1952098,3066466,1028771,3229328,1060467
1952664,3082638,3050549,3236542,1081199
1954732,3087566,3110891,3241364,1294518
1962568,3091482,3117069,3251461,1300532
1963095,3092285,3132424,3283769,1304136
1969029,3098586,3139051,3319524,1308625
1970758,3098999,3142454,3319905,1310378
1971526,3099795,3143217,3346048,1312080
1972495,3103641,3150452,3359022,1334400
1978397,3105574,3166300,3361063,1354041
1981276,3117748,3173656,3368204,1423259
1982999,3119221,3199022,3368633,1427254
1984523,3121410,3208685,3380461,1428939
1986685,3129650,3224082,3385321,1450651
1989408,3135740,3226031,3385734,1455596
1993198,3140641,3229048,3391871,1459863
1994400,3163627,3237190,3392867,1469963
1996777,3165110,3238659,3398572,1471760
1997861,3172339,3241397,3401251,1484277
1998837,3173532,3253926,3405729,1500270
2006663,3183582,3255126,3408703,1501171
2007266,3186456,3266542,3409902,1501809
2010933,3188247,3268281,3426435,1503450
2011482,3192474,3269270,3440847,1509577
2011968,3193141,3269650,3444161,1515554
2013303,3196443,3273121,3444543,1517958
2016904,3200286,3273506,3445950,1519313
2018987,3200832,3275552,3449836,1524057
2022895,3201236,3285122,3455567,1524858
2024713,3202721,3294857,3459890,1525502
2025292,3203436,3573969,3460408,1526421
2028263,3203836,3807403,3461670,1535862
2029814,3205399,3858453,3462255,1538096
2030682,3205961,3896284,3464855,1544045
2033978,3208916,4015314,3469900,1545892
2035201,3210205,4030342,3470282,1551886
2036681,3211684,4043566,3472306,1569571
2037866,3212082,4057709,3474428,1577066
2042975,3213793,4059430,3476988,1583202
2106592,3214663,4060341,3487634,1583988
2196844,3215925,4066041,3488772,1586599
2245497,3216460,4120936,3490666,1587616
2255377,3216836,4235042,3492741,1588253
2257659,3217822,4298929,3493956,1590172
2258992,3221359,4306049,3494598,1599879
2284197,3221843,4309864,3496027,1603450
2302513,3222974,4316540,3497545,1604288
2313819,3224258,4333921,3499605,1605622
2355464,3224975,4344750,3500732,1607388
2364426,3226202,4345904,3503867,1607934
2374710,3228780,4353249,3504275,1611003
2384384,3229397,4405038,3507737,1614573
2398152,3231626,4430245,3508845,1615791
2403834,3232026,4451249,3510425,1616363
2420658,3233151,4459040,3511051,1617151
2426100,3233514,4529631,3513005,1619717
2426944,3236877,4659399,3513419,1621431
2427536,3237771,4673835,3513825,1622457
4861408,3238163,4689426,3514348,1647194
4861879,3240096,4694511,3515209,1658685
4886346,3241651,4699629,3517996,1856120
4889183,3243581,4710706,3519456,
4912130,3250982,,3520421,
4943468,3252370,,3520931,
4949537,3255484,,3523084,
4957029,3259351,,3524281,
4959468,3261445,,3524843,
4963329,3262092,,3525571,
4963692,3269320,,3528264,
4964830,3270091,,3529092,
4971051,3271032,,3529647,
4972159,3271740,,3530836,
4975734,3275494,,3532087,
4977334,3276721,,3534120,
4982847,3277130,,3538965,
4984097,3279056,,3540764,
4984964,3291246,,3541143,
4986124,3293985,,3546544,
4998548,3295445,,3547338,
,3295948,,3549751,
,3297372,,3550741,
,3298370,,3554230,
,3299843,,3557601,
,3302517,,3559188,
,3304064,,3559927,
,3304692,,3562117,
,3306160,,3563267,
,3309098,,3564742,
,3310458,,3566574,
,3311226,,3566983,
,3312693,,3568238,
,3319345,,3568955,
,3324123,,3570683,
,3330656,,3571472,
,3334078,,3572140,
,3337021,,3572535,
,3342425,,3574473,
,3343921,,3578052,
,3349007,,3578910,
,3354240,,3580051,
,3375565,,3580664,
,3493794,,3581347,
,3675198,,3588140,
,3716241,,3590064,
,3718198,,3590553,
,3719728,,3591515,
,3731274,,3592674,
,3732450,,3594588,
,3743575,,3595464,
,3745917,,3597882,
,3754033,,3600056,
,3754753,,3604122,
,3760975,,3608640,
,3764992,,3610753,
,3765753,,3615253,
,3776561,,3615732,
,3778949,,3616112,
,3781315,,3617555,
,3789828,,3617943,
,3791001,,3618489,
,3796036,,3620868,
,3797318,,3623523,
,3799287,,3625366,
,3801743,,3626876,
,3804309,,3628341,
,3817869,,3632565,
,3820048,,3633861,
,3821157,,3634633,
,3826261,,3635040,
,3828411,,3638083,
,3831157,,3640958,
,3831577,,3642181,
,3839240,,3642829,
,3851040,,3646920,
,4457726,,3652456,
,4464733,,3656681,
,4723363,,3659312,
,4902236,,3660776,
,,,3661334,
,,,3661714,
,,,3663766,
,,,3666451,
,,,3668231,
,,,3669561,
,,,3672200,
,,,3674610,
,,,3676059,
,,,3679971,
,,,3682968,
,,,3683353,
,,,3684441,
,,,3686069,
,,,3687967,
,,,3688384,
,,,3689260,
,,,3690451,
,,,3693162,
,,,3700018,
,,,3702426,
,,,3705772,
,,,3719253,
,,,3728244,
,,,3778434,
,,,3796654,
,,,4184336,
,,,4187517,
,,,4202831,
,,,4263411,
,,,4744660,
,,,4762624,
,,,4775061,
,,,4825340,
,,,4835841,
,,,4935135,
,,,4936056,
,,,4944438,
,,,4992537,
,,,4999006,
