Trial 1,Trial 2,Trial 3,Trial 4,Trial 5
699942,554768,730828,733741,215279
701749,570098,1079556,782118,968361
711388,631027,1234559,794979,975186
825317,664832,1327274,799195,976186
865591,668699,1671260,825918,983333
885483,678447,1705822,831506,997853
894666,692634,1718979,1463031,998880
905373,693415,1722269,1475919,1013067
921784,694700,1723114,1480046,1040130
931720,696204,1724028,1481665,1045467
997503,699775,1731383,1490861,1048475
1490843,708635,1734031,1495448,1048919
1528602,710157,1736048,1505736,1049959
1559915,710697,1738977,1512283,1058438
1564593,716289,1749289,1512760,1059606
1568237,719112,1752639,1515532,1060463
1570960,719736,1784049,1519629,1063646
1576563,724862,1787736,1521228,1064987
1577168,733845,1789355,1528225,1076006
1580831,740332,1791456,1529327,1079033
1584029,746245,1793782,1530516,1080414
1590453,749522,1796525,1531740,1084067
1592591,752834,1803105,1532715,1084976
1594047,762652,1809080,1536078,1085908
1596317,763548,1815419,1537923,1086475
1597830,767447,1816320,1540117,1086898
1609287,769254,1819677,1543105,1087411
1611112,782758,1820481,1546109,1087962
1612293,787565,1821849,1551004,1089553
1616527,790536,1834865,1551878,1101214
1617454,802202,1838724,1552822,1127882
1621068,807418,1842883,1553268,1130591
1625531,816330,1845931,1554313,1132988
1626100,817633,1852861,1560654,1138418
1627259,819207,1855314,1562113,1143272
1627773,820012,1858934,1572482,1146194
1629082,823539,1860868,1576332,1153461
1630554,833486,1864274,1581461,1155329
1631441,834646,1866008,1581894,1158762
1631998,836009,1869946,1582641,1162189
1636522,837999,1876277,1584124,1164160
1637761,843010,1877133,1584864,1177066
1640474,850324,1878085,1585315,1177507
1649478,851975,1883072,1585824,1178315
1652766,853496,1892325,1587118,1179825
1658867,858911,1893116,1587586,1181054
1659667,861443,1896281,1588163,1185850
1662441,865266,1899957,1591965,1190976
1664899,866672,1901126,1592824,1191558
1670763,870769,1903808,1594432,1192377
1674393,874573,1915498,1595858,1193935
1681478,879767,1917648,1596940,1202554
1687139,896578,1919092,1597365,1203867
1696620,909622,1922092,1600003,1208681
1698236,912359,1924836,1600399,1213832
1701754,914285,1925509,1602259,1217437
1705594,916549,1926333,1603650,1221784
1713752,927940,1930391,1604231,1229166
1717201,929898,1930932,1605633,1230082
1722661,935561,1931732,1607313,1231468
1734345,938040,1936448,1608674,1233002
1735324,942929,1943474,1609069,1236723
1737896,955511,1946281,1610518,1240933
1742817,960884,1949479,1612988,1242759
1758139,965167,1951213,1613410,1243150
1782688,966305,1952124,1615246,1247271
1786103,966963,1953855,1616475,1259618
1787116,969068,1955899,1622106,1261986
1802058,975677,1958460,1625608,1263512
1803774,980343,1962636,1625965,1264066
1810273,989128,1963320,1629401,1266034
1824997,993158,1966710,1630695,1266749
1850649,994704,1972062,1631573,1267595
,996756,1973114,1632888,1286237
,1119858,1973866,1634093,1287354
,1122414,1975420,1635446,1288395
,1136492,1976878,1637444,1289625
,1137045,1980735,1640216,1290606
,1140285,1982388,1643341,1293683
,1142584,1985273,1661684,1309425
,1145086,1986665,1666674,1314404
,1145735,1990520,1675381,1315110
,1148265,1993268,1687004,1318626
,1149537,1993807,1692049,1321036
,1155008,1994351,1692463,1324513
,1155947,1995900,1721966,1328320
,1156399,1996605,1737552,1331518
,1157177,1997844,1738475,1345082
,1161754,2003704,1741284,1354648
,1165778,2004366,1746724,1388474
,1167010,2007568,1759551,1398819
,1168794,2008998,1780190,1399631
,1170219,2011993,1782854,1406513
,1173786,2012588,1783758,1413597
,1175035,2015400,1785738,1415050
,1176057,2021325,1788167,1415537
,1178427,2022595,1791547,1416909
,1179780,2023204,1797239,1420619
,1186540,2025631,1798102,1421526
,1187868,2031285,1798574,1421953
,1190593,2032007,1815814,1423056
,1191350,2035646,1823250,1423563
,1193834,2041055,1825957,1423957
,1194326,2041515,1870936,1424328
,1197652,2042668,1874555,1425438
,1202960,2043305,1882069,1425827
,1203587,2048450,1896126,1426670
,1210041,2051100,1903928,1429013
,1213508,2053501,1906056,1433584
,1217191,2055044,1906503,1434166
,1219169,2056806,1978440,1438276
,1225301,2057312,1994580,1440781
,1225841,2082601,2017583,1442586
,1234130,2085695,2040179,1444586
,1243862,2086158,2061933,1445856
,1247592,2088675,2065208,1447255
,1257840,2090396,2100900,1448872
,1260430,2092192,2104624,1450935
,1265176,2103127,2105969,1451357
,1265736,2106866,2108889,1453692
,1271438,2109839,2111709,1456963
,1276825,2116527,2117536,1457529
,1277472,2118593,2120034,1463747
,1279922,2120929,2120542,1469847
,1282532,2122271,2121936,1470268
,1285178,2122740,2123032,1480486
,1286102,2124823,2125546,1490493
,1287474,2136115,2126519,1492625
,1289467,2141054,2130098,1493068
,1291433,2149249,2130534,1501516
,1295075,2152293,2130921,1508061
,1295616,2169976,2132764,1512611
,1301839,2174457,2147342,1513379
,1313929,2174971,2147786,1551423
,1314653,2175559,2148253,1580566
,1318602,2185515,2150538,1633592
,1321597,2186295,2150993,2157277
,1341190,2188743,2154627,2392047
,1356892,2190335,2155190,2392587
,1357512,2194325,2161740,2402692
,1358170,2194839,2162276,2436172
,1364911,2196903,2164656,2446740
,1366231,2198192,2167238,2478235
,1370642,2199269,2168784,2481824
,1372675,2201112,2169581,2490903
,1374575,2201754,2171546,2491996
,1375122,2208943,2174744,2496753
,1376628,2210298,2176241,2497191
,1377079,2215782,2179380,2497735
,1378016,2219944,2181740,2499235
,1382114,2222830,2182349,2502321
,1385220,2223358,2184126,2504687
,1385703,2230185,2185898,2506417
,1387083,2235608,2189442,2511304
,1388714,2244892,2192246,2513966
,1392699,2247628,2192956,2524506
,1393836,2256932,2194852,2526752
,1395904,2258915,2198059,2528409
,1398236,2306340,2199455,2528894
,1408072,2320279,2199914,2560781
,1414469,2357286,2201165,2562918
,1415843,2375086,2202925,2566569
,1418024,2378626,2205632,2573125
,1420079,2390584,2207640,2586875
,1422938,2457672,2220184,2587539
,1424286,2484471,2224153,2595982
,1428445,2676431,2243877,2600469
,1435434,4007774,2263045,2601165
,1437787,4273110,2275042,2615404
,1440707,4275454,2283730,2618887
,1444207,4279901,2293662,2620564
,1444772,4289877,2309000,2622617
,1446358,4300394,2320939,2625048
,1447465,4306075,2576647,2630571
,1447976,4334861,3719092,2632444
,1450659,4358270,3757753,2638140
,1453963,4365744,4068234,2639897
,1454387,4366129,4099572,2650527
,1456152,4372052,4111468,2681123
,1457148,4373268,4142596,2685057
,1459972,4378655,4297392,2686008
,1460728,4380193,4753996,2709801
,1466395,4417055,4782885,2723109
,1468180,4419296,4828096,2727628
,1475641,4434711,,2730416
,1476345,4462965,,2732738
,1479096,4484565,,2735450
,1484657,4489379,,2736689
,1488129,4554448,,2738336
,1492891,4596033,,2738992
,1493437,4641906,,2739901
,1493876,4696884,,2741203
,1494287,4718576,,2742671
,1495225,4725842,,2743166
,1501927,4734797,,2747162
,1505568,4745429,,2747735
,1507877,4750334,,2757108
,1509166,4753304,,2759453
,1513353,4761520,,2764298
,1516047,4775704,,2772547
,1516528,4807170,,2773832
,1520651,,,2775349
,1525629,,,2780441
,1526949,,,2782317
,1531973,,,2782897
,1533375,,,2786848
,1535716,,,2789490
,1537381,,,2790676
,1538364,,,2792490
,1539002,,,2794745
,1540836,,,2801392
,1545648,,,2803550
,1546827,,,2805415
,1551569,,,2814089
,1553368,,,2818286
,1554569,,,2821696
,1555361,,,2824538
,1555868,,,2825156
,1557160,,,2829585
,1558181,,,2838024
,1563055,,,2848831
,1565864,,,2855063
,1566667,,,2872252
,1568132,,,2872832
,1571217,,,2877695
,1578558,,,2879431
,1586628,,,2883656
,1587824,,,2885440
,1591776,,,2895043
,1594546,,,2896869
,1606823,,,2898877
,1607454,,,2899765
,1609827,,,2902578
,1610490,,,2903674
,1622363,,,2905847
,1623908,,,2907626
,1631624,,,2908143
,1632487,,,2909091
,1636491,,,2913975
,1640303,,,2914808
,1643210,,,2915459
,1644332,,,2916916
,1647220,,,2919042
,1686360,,,2921745
,1687611,,,2922609
,1689299,,,2925362
,1693171,,,2926067
,1693784,,,2926563
,1698190,,,2928607
,1699533,,,2930065
,1702498,,,2931906
,1704760,,,2934028
,1706389,,,2934709
,1707106,,,2935865
,1707632,,,2937976
,1708247,,,2943919
,1715895,,,2945612
,1725338,,,2946849
,1727999,,,2947533
,1734702,,,2949029
,1740252,,,2950224
,1747328,,,2953829
,1764693,,,2954992
,1765266,,,2957750
,1769761,,,2964372
,1772484,,,2964931
,1775876,,,2968814
,1777468,,,2970286
,1781770,,,2970954
,1784557,,,2976602
,1787200,,,2979004
,1789584,,,2979941
,1791360,,,2984328
,1794092,,,2985956
,1795401,,,2986497
,1797120,,,2987100
,1800048,,,2991313
,1803296,,,2991984
,1808132,,,2993519
,1821106,,,2993946
,1827798,,,2995268
,1834237,,,2998545
,1841309,,,2999012
,,,,3004112
,,,,3009647
,,,,3014356
,,,,3016285
,,,,3016821
,,,,3018642
,,,,3019691
,,,,3020787
,,,,3022936
,,,,3025564
,,,,3027587
,,,,3031233
,,,,3035106
,,,,3036904
,,,,3037731
,,,,3038404
,,,,3043685
,,,,3045412
,,,,3047745
,,,,3052888
,,,,3054941
,,,,3067396
,,,,3106707
,,,,3121576
,,,,3124706
,,,,3130221
,,,,3130816
,,,,3131459
,,,,3132281
,,,,3139243
,,,,3140468
,,,,3143328
,,,,3147529
,,,,3150949
,,,,3154988
,,,,3157461
,,,,3176114
,,,,3177246
,,,,3181184
,,,,3182752
,,,,3188397
,,,,3191153
,,,,3223210
,,,,3310271
,,,,3348645
,,,,3361206
,,,,3379826
,,,,3381887
,,,,3394262
,,,,3417944
,,,,4125039
,,,,4165527
,,,,4233241
,,,,4252098
,,,,4269386
,,,,4273810
,,,,4284101
,,,,4295032
,,,,4298374
,,,,4306986
,,,,4325370
,,,,4335022
,,,,4335871
,,,,4336747
,,,,4340682
,,,,4344329
,,,,4357170
,,,,4378676
,,,,4379187
,,,,4387350
,,,,4388598
,,,,4392326
,,,,4404816
,,,,4409871
,,,,4411228
,,,,4414746
,,,,4425847
,,,,4428017
,,,,4429140
,,,,4433966
,,,,4443820
,,,,4494363
,,,,4511950
,,,,4516643
,,,,4517070
,,,,4518379
,,,,4528149
,,,,4529868
,,,,4535766
,,,,4536313
,,,,4537571
,,,,4538288
,,,,4542532
,,,,4544209
,,,,4557359
,,,,4568473
,,,,4568969
,,,,4569486
,,,,4570105
,,,,4571725
,,,,4575630
,,,,4576128
,,,,4578276
,,,,4579390
,,,,4586560
,,,,4587230
,,,,4587789
,,,,4598468
,,,,4602006
,,,,4613241
,,,,4613932
,,,,4621411
,,,,4623344
,,,,4627799
,,,,4628730
,,,,4635321
,,,,4635941
,,,,4644942
,,,,4645439
,,,,4646833
,,,,4647290
,,,,4649487
,,,,4650556
,,,,4652871
,,,,4657585
,,,,4658092
,,,,4661702
,,,,4665482
,,,,4668785
,,,,4676664
,,,,4679990
,,,,4690109
,,,,4691062
,,,,4713552
,,,,4723545
,,,,4731617
,,,,4733785
,,,,4739056
,,,,4743602
,,,,4744578
,,,,4748924
,,,,4755248
,,,,4759802
,,,,4762790
,,,,4770603
,,,,4775133
,,,,4780722
,,,,4784736
,,,,4789813
,,,,4793587
,,,,4798770
,,,,4800283
,,,,4802880
,,,,4818817
,,,,4820842
,,,,4821865
,,,,4822512
,,,,4827124
,,,,4830807
,,,,4831986
,,,,4833456
,,,,4833868
,,,,4836253
,,,,4840443
,,,,4852066
,,,,4868073
,,,,4871927
,,,,4874743
,,,,4928647
