Trial 1,Trial 2,Trial 3,Trial 4,Trial 5
138683,140871,117170,90831,111329
148223,153872,119553,126824,126654
161785,156323,124558,154116,135273
,172867,129953,158571,136108
,174971,139572,159388,145597
,187623,142607,160437,148125
,188504,159393,162913,152294
,192932,160002,174713,156116
,200496,160619,175780,171908
,200982,182768,178626,174919
,208223,195227,181954,177213
,216338,202591,183300,182548
,247198,215101,192292,184374
,253269,219521,200190,189060
,363340,221688,203171,209395
,375220,224950,208936,213024
,377408,225618,210374,214204
,380349,227458,217469,214828
,,229228,219119,218159
,,231276,219781,222320
,,235515,220607,223203
,,237308,222489,225048
,,238723,236499,228083
,,240973,257465,229207
,,241527,260128,231795
,,243271,263451,232497
,,246315,264063,233762
,,251079,265554,241541
,,254340,271866,243906
,,256191,273982,244782
,,260139,283527,248187
,,262216,288150,251066
,,266701,289917,265266
,,267898,290703,266972
,,268669,294600,271134
,,272454,297943,276033
,,274259,302605,280176
,,277188,304501,288960
,,282266,305474,290473
,,284288,320790,293169
,,284689,339992,298122
,,292634,344850,312053
,,295680,347472,320366
,,296676,383444,330346
,,298051,390966,336380
,,299090,394256,347563
,,300635,409544,350014
,,303871,425657,352264
,,305677,437481,361190
,,308256,444266,362159
,,311124,447797,366046
,,312458,450130,367844
,,315283,457039,368391
,,318294,477986,371200
,,319175,482297,377725
,,322689,,381014
,,323383,,382768
,,326992,,389446
,,329370,,390336
,,330033,,391227
,,333302,,391826
,,336564,,394838
,,341672,,396955
,,342578,,399360
,,344718,,401735
,,346510,,402935
,,347627,,404989
,,363048,,412805
,,364539,,418765
,,365360,,419307
,,369073,,421826
,,371777,,422743
,,372228,,423682
,,374383,,425656
,,387045,,428396
,,398985,,430844
,,412061,,436224
,,432915,,443835
,,437353,,448180
,,445492,,451176
,,446118,,453645
,,449400,,456327
,,459589,,458449
,,478670,,458955
,,480233,,461119
,,483017,,464201
,,486708,,469171
,,487461,,470054
,,492276,,470746
,,494645,,472505
,,495873,,474022
,,499488,,491716
