Trial 1,Trial 2,Trial 3,Trial 4,Trial 5
132358,146513,123625,156645,143099
155117,151367,131768,164115,154510
157019,160812,137204,168013,161649
167441,162863,140719,179049,163358
173730,164522,141669,184419,166403
177579,279357,143847,188477,167563
178252,366659,150048,189871,177053
198115,423927,152523,191516,179559
203246,426636,154126,197911,195642
205543,429275,157064,201289,216395
206572,465891,161649,204923,221122
208142,470095,163987,208098,223605
208936,472524,167489,217622,696553
209689,473981,170473,219407,912509
211535,481185,173247,224607,935863
976918,484547,177345,243093,940791
2923951,485545,179120,247890,989234
2942909,486626,179702,249861,1022874
3015033,487815,183263,250650,1153744
3016378,493690,188784,254758,1557036
3027145,496792,191139,259134,1580572
3037161,498021,192106,262145,
3105639,498645,192628,265275,
3116697,499275,194710,278990,
3164771,502391,197726,280133,
3325648,506119,198995,281738,
3332995,508099,201370,282344,
3525404,508735,203472,289122,
3578805,509712,204970,295010,
3589799,510269,208084,295526,
3679258,510807,209392,297393,
3731086,518770,213373,297935,
3907500,521342,214161,299724,
3986001,526775,215436,300231,
4297185,529822,219064,302798,
4407294,531461,219620,331541,
4493579,538120,220568,334136,
4501122,575064,225078,339622,
4561464,587460,232522,350096,
4597267,594678,234702,350705,
4642546,614487,243080,353006,
4664793,624321,245156,354413,
4667149,665059,257456,358524,
4713336,679126,258024,364620,
4719605,692989,265245,366593,
4722592,822825,267038,368578,
4726006,,267611,373229,
4736823,,277487,376806,
4763521,,278729,381573,
4772475,,281840,382835,
4853644,,282881,383983,
,,284439,385801,
,,286888,388876,
,,290096,392348,
,,292185,392939,
,,292723,393911,
,,293296,395096,
,,300045,398414,
,,302090,399610,
,,305065,401447,
,,306282,402029,
,,316560,404766,
,,322261,405892,
,,324804,410036,
,,327955,410547,
,,329328,412818,
,,343244,414068,
,,355226,425333,
,,356135,426866,
,,360036,432021,
,,362455,436737,
,,363047,444869,
,,367260,446094,
,,370659,455080,
,,373647,456620,
,,375025,459309,
,,381153,460078,
,,383241,460785,
,,384394,463497,
,,387955,467520,
,,393657,474990,
,,395793,488444,
,,402039,490252,
,,402601,492639,
,,412043,494718,
,,417974,496231,
,,426098,499231,
,,431517,501026,
,,439605,506275,
,,440564,517127,
,,442550,845771,
,,454339,871561,
,,456050,883728,
,,459413,903897,
,,460241,946486,
,,462028,1214419,
,,465596,1215023,
,,468040,1234444,
,,468690,2095864,
,,473264,2126052,
,,488771,2151066,
,,493582,2158243,
,,495931,2163594,
,,496839,2164550,
,,499342,2166565,
,,507664,2169051,
,,508644,2185503,
,,512548,2197618,
,,516368,4760465,
,,522653,4767144,
,,524342,4791071,
,,531677,4847015,
,,534221,4860218,
,,542429,4869030,
,,549514,4878080,
,,560154,4893915,
,,566556,4911835,
,,571479,4928651,
,,586251,4933181,
,,590254,4941349,
,,593010,4942439,
,,594368,4949452,
,,595299,4967108,
,,597239,4983053,
,,604580,,
,,618671,,
,,621530,,
,,622244,,
,,624372,,
,,625278,,
,,632952,,
,,636965,,
,,637608,,
,,643940,,
,,645970,,
,,648831,,
,,650769,,
,,654673,,
,,655578,,
,,667767,,
,,676271,,
,,677422,,
,,689150,,
,,690251,,
,,693216,,
,,699439,,
,,701438,,
,,702364,,
,,706050,,
,,706896,,
,,707442,,
,,708081,,
,,708663,,
,,711695,,
,,712835,,
,,714602,,
,,717966,,
,,729401,,
,,734473,,
,,743698,,
,,744222,,
,,745532,,
,,751874,,
,,765568,,
,,766384,,
,,767130,,
,,767740,,
,,769505,,
,,773140,,
,,776346,,
,,777981,,
,,778560,,
,,783069,,
,,786515,,
,,789038,,
,,800445,,
,,800936,,
,,801634,,
,,802475,,
,,806459,,
,,809175,,
,,821858,,
,,826019,,
,,829524,,
,,831208,,
,,832549,,
,,834584,,
,,837206,,
,,839143,,
,,839667,,
,,841670,,
,,844885,,
,,847206,,
,,852032,,
,,853017,,
,,857232,,
,,858907,,
,,861065,,
,,863728,,
,,864306,,
,,865681,,
,,867607,,
,,869416,,
,,870031,,
,,877284,,
,,877816,,
,,880539,,
,,882600,,
,,887737,,
,,888835,,
,,892531,,
,,895228,,
,,897666,,
,,900297,,
,,901701,,
,,904402,,
,,905394,,
,,909593,,
,,912948,,
,,915873,,
,,926455,,
,,945581,,
,,947137,,
,,955214,,
,,958192,,
,,960735,,
,,969308,,
,,971865,,
,,975836,,
,,977158,,
,,977943,,
,,978815,,
,,979512,,
,,981939,,
,,982483,,
,,983584,,
,,984648,,
,,987848,,
,,988523,,
,,989348,,
,,998402,,
,,1001117,,
,,1005675,,
,,1012358,,
,,1015191,,
,,1017460,,
,,1017939,,
,,1024246,,
,,1025060,,
,,1030349,,
,,1030802,,
,,1032375,,
,,1039387,,
,,1050399,,
,,1052596,,
,,1057863,,
,,1064719,,
,,1067087,,
,,1070590,,
,,1079173,,
,,1087491,,
,,1136772,,
,,1141780,,
,,1142487,,
,,1144545,,
,,1148867,,
,,1149293,,
,,1151875,,
,,1164594,,
,,1169011,,
,,1171119,,
,,1171690,,
,,1179500,,
,,1181007,,
,,1184255,,
,,1186555,,
,,1191543,,
,,1193269,,
,,1193819,,
,,1196706,,
,,1220329,,
,,1221659,,
